id,name,type
vfb,VfB Stuttgart 1893 e.V.,0
dietrich,Dietrich,1
straessle,Straessle,0
vmm,VMM Consulting GmbH,0
midholding,MID Holding GmbH,0
midgmbh,MID GmbH,0
cawdietrich,CAW Dietrich GmbH,0
quattrexsports,Quattrex Sports AG,0
quattrexfinance,Quattrex Finance GmbH,0
porth,Porth,1
daimlerag,Daimler AG,0
mercedesbenzvans,Mercedes-Benz Vans,0
gaiser,Gaiser,1
horvath,Horváth,0
recaro,RECARO Holding GmbH,0
ieg,IEG,0
jenner,Jenner,1
alfredkaercherkg,Alfred Kärcher SE & Co. KG,0
alfredkaercherfoerder,Alfred-Kärcher-Förderstiftung,0
hartmutjennergmbh,Hartmut Jenner GmbH,0
zoi,Zoi TechCon GmbH,0
nikopagmbh,Nikopa GmbH,0
nikopavermoegen,Nikopa Vermögensverwaltung GmbG,0
ohlicher,Ohlicher,1
totolotto,Toto Lotto GmbH,0
reiner,Reiner,1
mercesbenzfinanzgmbh,Mercedes-Benz Finanz GmbH,0
mercedesbenzbank,Mercedes-Benz Bank,0
mercedesbenzfinancialusa,Mercedes-Benz Financial Services USA,0
daimlerfinancialcanada,Daimler Financial Services Canada,0
daimlerfinancialag,Daimler Financial Services AG,0
sugg,Sugg,1
robertboschgmbh,Robert Bosch GmbH,0
fanclubcourage,Fanclub Courage Gerlingen,0
jako, Jako,0
krombacher, Krombacher,0
